episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
-499,gain1x,0.0066666666666666,288.5477687716484,0.0019607843137254,499
-499,gain2x,0.0033333333333333,291.2501529256503,0.0009803921568627,499
-499,gain3x,0.01,294.33263181646663,0.0029411764705882,499
-499,gain4x,0.0066666666666666,294.8695904612541,0.0019607843137254,499
-999,gain1x,0.0,206.7562218705813,0.0,999
-999,gain2x,0.0,286.757659971714,0.0,999
-999,gain3x,0.0,307.3336093922456,0.0,999
-999,gain4x,0.0,231.9046647027135,0.0,999
-1499,gain1x,0.0,399.5762014389038,0.0,1499
-1499,gain2x,0.0,378.2613403399785,0.0,1499
-1499,gain3x,0.0,252.4432795792818,0.0,1499
-1499,gain4x,0.0,239.3046098798513,0.0,1499
-1999,gain1x,0.0,397.29551736513775,0.0,1999
-1999,gain2x,0.0,336.5211791396141,0.0,1999
-1999,gain3x,0.0,194.8197921713193,0.0,1999
-1999,gain4x,0.0,261.708828796943,0.0,1999
-2499,gain1x,0.0,439.636337518692,0.0,2499
-2499,gain2x,0.0,738.723634560903,0.0,2499
-2499,gain3x,0.0,599.7440574169159,0.0,2499
-2499,gain4x,0.0,350.2990385989348,0.0,2499
-2999,gain1x,0.0,406.92496371269226,0.0,2999
-2999,gain2x,0.0,1046.269780476888,0.0,2999
-2999,gain3x,0.0,1670.1336491902669,0.0,2999
-2999,gain4x,0.0,2268.88361231486,0.0,2999
-3499,gain1x,0.0,410.41608421007794,0.0,3499
-3499,gain2x,0.0,1021.712947209676,0.0,3499
-3499,gain3x,0.0,1614.3920160929365,0.0,3499
-3499,gain4x,0.0,2178.008204778036,0.0,3499
-3999,gain1x,0.0,443.7173082828522,0.0,3999
-3999,gain2x,0.0,907.957017739614,0.0,3999
-3999,gain3x,0.0,1084.2145641644795,0.0,3999
-3999,gain4x,0.0,999.550191561381,0.0,3999
-4499,gain1x,0.0,409.3116026719411,0.0,4499
-4499,gain2x,0.0,1051.5455147425334,0.0,4499
-4499,gain3x,0.0,1686.0030190149944,0.0,4499
-4499,gain4x,0.0,2282.5052604675293,0.0,4499
-4999,gain1x,0.0,422.7294654846192,0.0,4999
-4999,gain2x,0.0,1011.1002756754556,0.0,4999
-4999,gain3x,0.0,1443.085189183553,0.0,4999
-4999,gain4x,0.0,1676.3904609680176,0.0,4999
-5499,gain1x,0.0,414.5236121018728,0.0,5499
-5499,gain2x,0.0,1008.7070240974426,0.0,5499
-5499,gain3x,0.0,1453.0226071675618,0.0,5499
-5499,gain4x,0.0,1675.8108762105303,0.0,5499
-5999,gain1x,0.0,130.77174219489098,0.0,5999
-5999,gain2x,0.0,330.69955639044446,0.0,5999
-5999,gain3x,0.0,539.9853258927664,0.0,5999
-5999,gain4x,0.0,717.886731783549,0.0,5999
-6499,gain1x,0.0,123.27996090923746,0.0,6499
-6499,gain2x,0.0,249.17811314264927,0.0,6499
-6499,gain3x,0.0,418.620997985204,0.0,6499
-6499,gain4x,0.0166666666666666,515.6889327391982,0.0053487376979032,6499
-6999,gain1x,0.0,148.55129531895122,0.0,6999
-6999,gain2x,0.0,284.5839361399412,0.0,6999
-6999,gain3x,0.0,409.1988978385925,0.0,6999
-6999,gain4x,0.0,471.2572360038757,0.0,6999
-7499,gain1x,0.0,129.55098302662373,0.0,7499
-7499,gain2x,0.0233333333333333,224.94895026584467,0.0090415913200723,7499
-7499,gain3x,0.0833333333333333,204.41808404276767,0.0589205750648126,7499
-7499,gain4x,0.1333333333333333,161.28889947136244,0.1495327102803738,7499
-7999,gain1x,0.0,190.7470180913806,0.0,7999
-7999,gain2x,0.0,401.52854160467786,0.0,7999
-7999,gain3x,0.0,519.8990846077601,0.0,7999
-7999,gain4x,0.0,516.9177123705546,0.0,7999
-8499,gain1x,0.0,133.3871332829197,0.0,8499
-8499,gain2x,0.0033333333333333,302.02093853553134,0.0009967108541812,8499
-8499,gain3x,0.0166666666666666,375.5943556527297,0.0063702382469104,8499
-8499,gain4x,0.0,393.4105936090152,0.0,8499
-8999,gain1x,0.01,134.62419774880013,0.0029907287409032,8999
-8999,gain2x,0.1266666666666666,128.4060177405675,0.0464604474874679,8999
-8999,gain3x,0.0366666666666666,203.31337477266788,0.0169779286926994,8999
-8999,gain4x,0.0266666666666666,271.2095073958238,0.0131752305665349,8999
-9499,gain1x,0.03,194.2907859173914,0.0096525096525096,9499
-9499,gain2x,0.0,387.4297953049342,0.0,9499
-9499,gain3x,0.0,631.9216072559357,0.0,9499
-9499,gain4x,0.0,861.3409790198008,0.0,9499
-9999,gain1x,0.0033333333333333,339.436430255572,0.0009922603691208,9999
-9999,gain2x,0.0266666666666666,279.0268383324146,0.0085387981641583,9999
-9999,gain3x,0.02,348.27661966284114,0.0070447340612891,9999
-9999,gain4x,0.0166666666666666,401.05456468462944,0.0056167153448663,9999
-10499,gain1x,0.0,133.0299657434225,0.0,10499
-10499,gain2x,0.0,461.16769472757977,0.0,10499
-10499,gain3x,0.0,818.5769945780436,0.0,10499
-10499,gain4x,0.0,362.4118568475048,0.0,10499
-10999,gain1x,0.0,155.42229408584535,0.0,10999
-10999,gain2x,0.0,295.6097538260122,0.0,10999
