episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
-499,gain1x,0.0,288.34925864140195,0.0,499
-499,gain2x,0.0,296.709803879261,0.0,499
-499,gain3x,0.0,306.46101399262744,0.0,499
-499,gain4x,0.0066666666666666,321.04733716448146,0.0019607843137254,499
-999,gain1x,0.0,394.60701576868695,0.0,999
-999,gain2x,0.0,385.3791071573893,0.0,999
-999,gain3x,0.0,244.8137649099032,0.0,999
-999,gain4x,0.0,212.0378780861696,0.0,999
-1499,gain1x,0.0,402.9900558789571,0.0,1499
-1499,gain2x,0.0,421.30957372983295,0.0,1499
-1499,gain3x,0.0,330.9766934315364,0.0,1499
-1499,gain4x,0.0,213.47618966301283,0.0,1499
-1999,gain1x,0.0,261.8064874410629,0.0,1999
-1999,gain2x,0.0,286.4211699167888,0.0,1999
-1999,gain3x,0.0,286.9716386795044,0.0,1999
-1999,gain4x,0.0,286.02794766426086,0.0,1999
-2499,gain1x,0.0,395.5380911827088,0.0,2499
-2499,gain2x,0.0,372.3123224973679,0.0,2499
-2499,gain3x,0.0,240.05574613809583,0.0,2499
-2499,gain4x,0.0,195.63403012851876,0.0,2499
-2999,gain1x,0.0,283.2372348308563,0.0,2999
-2999,gain2x,0.0,286.8491286436717,0.0,2999
-2999,gain3x,0.0,286.9716386795044,0.0,2999
-2999,gain4x,0.0,286.3315068085988,0.0,2999
-3499,gain1x,0.01,223.44256778558096,0.0159914712153518,3499
-3499,gain2x,0.01,214.62256116668385,0.0135746606334841,3499
-3499,gain3x,0.0066666666666666,218.3661081890265,0.0100603621730382,3499
-3499,gain4x,0.0266666666666666,199.04062776267529,0.0353513035793194,3499
-3999,gain1x,0.01,215.9795391956965,0.0191204588910133,3999
-3999,gain2x,0.01,203.8716259201368,0.0175233644859813,3999
-3999,gain3x,0.0,211.90024888515472,0.0,3999
-3999,gain4x,0.0,216.62757122516632,0.0,3999
-4499,gain1x,0.1,188.93995994329453,0.0670990829791992,4499
-4499,gain2x,0.07,204.1997316479683,0.0385745775165319,4499
-4499,gain3x,0.07,221.00108911842108,0.033301617507136,4499
-4499,gain4x,0.0433333333333333,231.46983811755976,0.0190504103165298,4499
-4999,gain1x,0.0266666666666666,189.4167525495092,0.0089766606822262,4999
-4999,gain2x,0.04,163.5207086338972,0.0142942227516378,4999
-4999,gain3x,0.0666666666666666,146.43438688665628,0.0251161622504081,4999
-4999,gain4x,0.08,136.85554512093464,0.0299139972578835,4999
-5499,gain1x,0.0,473.2833609978358,0.0,5499
-5499,gain2x,0.0,616.6834673881531,0.0,5499
-5499,gain3x,0.0,687.1359157164892,0.0,5499
-5499,gain4x,0.0,709.8873515923818,0.0,5499
-5999,gain1x,0.0033333333333333,342.55646248658496,0.0009974067424695,5999
-5999,gain2x,0.0,423.1773581902186,0.0,5999
-5999,gain3x,0.0,486.0487978855769,0.0,5999
-5999,gain4x,0.0,470.7916415135066,0.0,5999
-6499,gain1x,0.0366666666666666,232.37347585956252,0.0158159597411933,6499
-6499,gain2x,0.0666666666666666,196.067519163092,0.0253936008125952,6499
-6499,gain3x,0.1566666666666666,140.49061138555408,0.0517849272807404,6499
-6499,gain4x,0.0033333333333333,229.6871536374092,0.001003411599438,6499
-6999,gain1x,0.1566666666666666,170.5321662823359,0.0777888116517709,6999
-6999,gain2x,0.0066666666666666,192.3630001048247,0.0033030553261767,6999
-6999,gain3x,0.0066666666666666,247.4995580414931,0.0031650577623041,6999
-6999,gain4x,0.03,283.62185856699944,0.0115859938208032,6999
-7499,gain1x,0.2733333333333333,115.05394057929516,0.2523076923076923,7499
-7499,gain2x,0.1033333333333333,110.32009067386387,0.1003886010362694,7499
-7499,gain3x,0.0,235.97684252262115,0.0,7499
-7499,gain4x,0.0,381.4950360457103,0.0,7499
499,gain1x,0.2966666666666667,102.67362289875746,0.2218344965104685,7999
499,gain2x,0.09,184.21640322978297,0.0721346513491851,7999
499,gain3x,0.0,322.55709916353226,0.0,7999
499,gain4x,0.0,422.3624042272568,0.0,7999
999,gain1x,0.3666666666666666,223.61505761990944,0.1831196936906941,8499
999,gain2x,0.0866666666666666,250.1272611916065,0.0657063431892848,8499
999,gain3x,0.0,266.3473164836566,0.0,8499
999,gain4x,0.0,289.7573622862498,0.0,8499
1499,gain1x,0.55,94.4167236785094,0.3283582089552239,8999
1499,gain2x,0.3833333333333333,130.064107645303,0.3269832243389252,8999
1499,gain3x,0.2733333333333333,144.88559750343362,0.2958152958152958,8999
1499,gain4x,0.16,142.10652987410626,0.2181818181818181,8999
1999,gain1x,0.8833333333333333,40.91102699562907,0.5960413855150697,9499
1999,gain2x,0.2033333333333333,124.84193543158472,0.1696801112656467,9499
1999,gain3x,0.1533333333333333,166.37347180893025,0.1561969439728353,9499
1999,gain4x,0.16,168.29722266147533,0.2040816326530612,9499
2499,gain1x,0.95,38.83169125268856,0.6080648602517601,9999
2499,gain2x,0.2933333333333333,101.96450546135505,0.2370051171559385,9999
2499,gain3x,0.14,147.7711637467146,0.1403274306715669,9999
2499,gain4x,0.0533333333333333,174.28719455500445,0.0670859538784067,9999
2999,gain1x,0.9833333333333332,37.908603151639305,0.6709119854446213,10499
2999,gain2x,0.3466666666666667,103.266821436584,0.3096159571300982,10499
2999,gain3x,0.16,149.20211043953896,0.1773180642777983,10499
2999,gain4x,0.0833333333333333,175.9599699874719,0.1087429317094388,10499
3499,gain1x,0.96,40.07990626245737,0.6212251941328731,10999
3499,gain2x,0.2966666666666667,123.83640664443374,0.2542857142857143,10999
3499,gain3x,0.1633333333333333,166.57776194810867,0.175,10999
3499,gain4x,0.1266666666666666,178.09333979338408,0.164716081491114,10999
3999,gain1x,0.9566666666666668,45.47669145464897,0.6947470346163156,11499
3999,gain2x,0.39,89.62633943806092,0.3694347963372276,11499
3999,gain3x,0.1633333333333333,143.3779335518678,0.1873804971319311,11499
3999,gain4x,0.11,164.16429043809572,0.1481149012567325,11499
4499,gain1x,0.9933333333333332,42.41847372055054,0.7130892558028236,11999
4499,gain2x,0.4166666666666667,89.69614247232676,0.3935768261964735,11999
4499,gain3x,0.1766666666666666,143.0370889591674,0.2021357742181541,11999
4499,gain4x,0.1166666666666666,165.1475068895767,0.1607717041800642,11999
4999,gain1x,0.99,43.72581773499648,0.7224519581610314,12499
4999,gain2x,0.4066666666666667,86.2468585750709,0.3879173290937996,12499
4999,gain3x,0.1566666666666666,144.15222413092852,0.1814671814671814,12499
4999,gain4x,0.1,171.40685323625803,0.1386321626617375,12499
5499,gain1x,0.9366666666666666,49.26751056313515,0.704084189426209,12999
