episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
499,gain1x,0.1266666666666666,177.533154408137,0.0456511292647765,499
499,gain2x,0.0033333333333333,333.99425409237546,0.0013691128148959,499
499,gain3x,0.0066666666666666,324.59143152832985,0.0031535793125197,499
499,gain4x,0.0166666666666666,286.0675948659579,0.0087092840968472,499
999,gain1x,0.5133333333333333,84.24386516585946,0.3442879499217527,999
999,gain2x,0.15,188.15700283646584,0.1266178953292065,999
999,gain3x,0.0066666666666666,277.34880727529526,0.0067888662593346,999
999,gain4x,0.0,338.7911749680837,0.0,999
1499,gain1x,0.9733333333333334,31.660889926366508,0.664089151694337,1499
1499,gain2x,0.1233333333333333,129.10099420448145,0.1077774541217593,1499
1499,gain3x,0.0,233.7899235288302,0.0,1499
1499,gain4x,0.0,322.7076179981232,0.0,1499
1999,gain1x,0.9766666666666668,42.36465147634348,0.7065348444658789,1999
1999,gain2x,0.28,100.80813751742244,0.2686280780300607,1999
1999,gain3x,0.0133333333333333,188.01904356479645,0.015031942878617,1999
1999,gain4x,0.0,261.739408493042,0.0,1999
2499,gain1x,0.9866666666666668,40.21311954160532,0.7123947051744886,2499
2499,gain2x,0.3033333333333333,90.64028309906524,0.2990469930989155,2499
2499,gain3x,0.06,169.00706483920416,0.0708940527766837,2499
2499,gain4x,0.0,225.67881123224893,0.0,2499
2999,gain1x,0.9933333333333332,40.142796536286674,0.7185917530745116,2999
2999,gain2x,0.39,80.51864167675376,0.3935418768920282,2999
2999,gain3x,0.09,147.1571716864904,0.110655737704918,2999
2999,gain4x,0.0066666666666666,198.10413374503452,0.0093414292386735,2999
3499,gain1x,0.9933333333333332,43.58156288663546,0.732726825670027,3499
3499,gain2x,0.51,65.92449864496787,0.5406360424028268,3499
3499,gain3x,0.1766666666666666,117.40600935121375,0.2289416846652267,3499
3499,gain4x,0.03,167.09676278134188,0.044378698224852,3499
3999,gain1x,0.9666666666666668,46.61327553788821,0.7197815835194837,3999
3999,gain2x,0.6266666666666667,54.6176679978768,0.6819006166122598,3999
3999,gain3x,0.2666666666666666,100.39280340075491,0.3611738148984199,3999
3999,gain4x,0.0766666666666666,140.34244741002718,0.116810563737938,3999
4499,gain1x,0.9933333333333332,43.42793099582195,0.7339901477832512,4499
4499,gain2x,0.6933333333333334,50.39735362042362,0.768378278537126,4499
4499,gain3x,0.33,93.9534931158026,0.4570637119113573,4499
4499,gain4x,0.12,126.6209437896808,0.1895734597156398,4499
4999,gain1x,0.99,41.826841704547405,0.7275845173934345,4999
4999,gain2x,0.7566666666666667,45.31361234808961,0.845437616387337,4999
4999,gain3x,0.4066666666666667,83.2172799743712,0.5719643694327239,4999
4999,gain4x,0.13,115.08392686396836,0.2109248242293131,4999
5499,gain1x,0.9866666666666668,44.19050149619579,0.7279881947860305,5499
5499,gain2x,0.8166666666666667,42.55753445881419,0.9319132750095092,5499
5499,gain3x,0.4566666666666666,77.18258444964886,0.6637596899224806,5499
5499,gain4x,0.27,105.00367655356725,0.4542905215928211,5499
5999,gain1x,0.9966666666666668,41.97899820407232,0.7328431372549019,5999
5999,gain2x,0.84,39.16947339102626,0.969603693728357,5999
5999,gain3x,0.4966666666666666,72.0219271114717,0.7225994180407371,5999
5999,gain4x,0.2033333333333333,102.65642190476258,0.3417366946778711,5999
6499,gain1x,0.97,48.38706255952517,0.7296890672016048,6499
6499,gain2x,0.85,37.17388583098849,0.9879891514916698,6499
6499,gain3x,0.5533333333333333,68.01640452320378,0.8173313638601674,6499
6499,gain4x,0.2666666666666666,96.0588966185848,0.4540295119182746,6499
6999,gain1x,1.0,44.69644388059775,0.7490636704119851,6999
6999,gain2x,0.93,33.81018533588698,1.0851808634772462,6999
6999,gain3x,0.6166666666666667,61.6567393305401,0.9135802469135802,6999
6999,gain4x,0.2366666666666666,93.9460441681246,0.4071100917431192,6999
7499,gain1x,0.9966666666666668,41.40009427567323,0.7357283464566928,7499
7499,gain2x,0.8866666666666667,36.24547254356245,1.021113243761996,7499
7499,gain3x,0.6233333333333333,63.36531742662192,0.91937069813176,7499
7499,gain4x,0.2633333333333333,95.35157366593678,0.4473386183465458,7499
7999,gain1x,1.0,33.926338444153465,0.7112375533428165,7999
7999,gain2x,0.8766666666666667,37.93415604159236,1.0038167938931295,7999
7999,gain3x,0.61,63.67449216544628,0.9014778325123152,7999
7999,gain4x,0.2366666666666666,95.39315160736442,0.3993250843644544,7999
8499,gain1x,1.0,45.67781945566336,0.7481296758104738,8499
8499,gain2x,0.93,32.12108924550315,1.109785202863962,8499
8499,gain3x,0.7133333333333334,52.28241184012344,1.0996916752312431,8499
8499,gain4x,0.3733333333333333,80.31191035856803,0.6561218512009372,8499
8999,gain1x,1.0,41.43856891493002,0.7378258730939498,8999
8999,gain2x,0.9266666666666666,33.326820330383875,1.0910518053375196,8999
8999,gain3x,0.7033333333333334,53.62132994520167,1.0776302349336058,8999
8999,gain4x,0.3733333333333333,80.3571847633769,0.6599882144961696,8999
9499,gain1x,0.9866666666666668,47.487232287724815,0.7440925087983912,9499
9499,gain2x,0.9333333333333332,33.68228253660103,1.141459437423563,9499
9499,gain3x,0.7466666666666667,49.592876498276986,1.1666666666666667,9499
9499,gain4x,0.4766666666666667,74.96732719739278,0.861965039180229,9499
9999,gain1x,1.0,39.36113520463308,0.7311723129417499,9999
9999,gain2x,0.9466666666666668,31.766445077645283,1.136454581832733,9999
9999,gain3x,0.7466666666666667,48.41054594206313,1.1666666666666667,9999
9999,gain4x,0.5166666666666667,70.05346657584111,0.9376890502117362,9999
10499,gain1x,0.9966666666666668,46.08748006820679,0.7535282258064516,10499
10499,gain2x,0.9833333333333332,32.01587564249834,1.2129934210526314,10499
10499,gain3x,0.7933333333333333,44.30196030500034,1.2761394101876675,10499
10499,gain4x,0.6066666666666667,62.9368397568663,1.1255411255411254,10499
10999,gain1x,1.0,40.21404605607192,0.732421875,10999
10999,gain2x,0.95,33.420503173489124,1.1590077267181782,10999
10999,gain3x,0.7733333333333333,46.84613971722623,1.2159329140461217,10999
10999,gain4x,0.5166666666666667,69.22164190436403,0.9497549019607842,10999
11499,gain1x,1.0,41.85517025490602,0.7390983000739098,11499
11499,gain2x,0.9766666666666668,31.712609489758808,1.2157676348547717,11499
11499,gain3x,0.82,43.80801683291793,1.3155080213903745,11499
11499,gain4x,0.58,63.73861884946624,1.0740740740740742,11499
11999,gain1x,0.9933333333333332,48.206583112478256,0.7468671679197995,11999
11999,gain2x,0.9533333333333334,35.47423894703388,1.2118644067796611,11999
11999,gain3x,0.8033333333333333,44.23097204323858,1.3027027027027027,11999
11999,gain4x,0.6,64.20532546068232,1.1299435028248588,11999
12499,gain1x,1.0,44.36505363384882,0.7446016381236038,12499
12499,gain2x,0.9866666666666668,32.07696262560785,1.226688769167012,12499
12499,gain3x,0.8233333333333334,41.656560184434056,1.3402061855670102,12499
12499,gain4x,0.5833333333333334,62.732971335450806,1.10062893081761,12499
12999,gain1x,1.0,47.62978729605675,0.7520681875156681,12999
12999,gain2x,0.93,36.583414848273,1.1757269279393172,12999
12999,gain3x,0.8,43.83651238059005,1.310043668122271,12999
12999,gain4x,0.6033333333333334,65.4129132454594,1.1326658322903629,12999
13499,gain1x,0.9966666666666668,46.57406605283419,0.7495612935572825,13499
13499,gain2x,0.9566666666666668,35.008363066862024,1.2140439932318106,13499
13499,gain3x,0.8133333333333334,43.2230584587281,1.329700272479564,13499
13499,gain4x,0.61,61.47923590118686,1.1656050955414012,13499
13999,gain1x,1.0,43.36936445534229,0.7427581084426838,13999
13999,gain2x,0.97,34.66498648375273,1.2262958280657394,13999
13999,gain3x,0.7833333333333333,45.0654445886612,1.2750949538795442,13999
13999,gain4x,0.6233333333333333,64.40799631923437,1.1835443037974684,13999
14499,gain1x,0.9966666666666668,49.362450033426285,0.7575373701545477,14499
14499,gain2x,0.9733333333333334,35.02699054715534,1.2526812526812523,14499
14499,gain3x,0.8433333333333334,41.45527879831692,1.404775124930594,14499
14499,gain4x,0.6666666666666666,57.957068591068186,1.3054830287206265,14499
14999,gain1x,1.0,46.19331959883372,0.7457121551081283,14999
14999,gain2x,0.9666666666666668,37.71861200158795,1.2478485370051635,14999
14999,gain3x,0.82,43.266670949446656,1.3781512605042017,14999
14999,gain4x,0.6266666666666667,62.8217109143734,1.214470284237726,14999
15499,gain1x,0.9966666666666668,49.31141529480616,0.7583058584833883,15499
15499,gain2x,0.99,36.56939162686467,1.2958115183246073,15499
15499,gain3x,0.83,40.736665884653725,1.4028169014084506,15499
15499,gain4x,0.74,53.06018811961015,1.4721485411140582,15499
15999,gain1x,1.0,37.690272043148674,0.7175316909830184,15999
15999,gain2x,0.95,37.26518223683039,1.2112197195070122,15999
15999,gain3x,0.7833333333333333,43.94000613999864,1.297625621203755,15999
15999,gain4x,0.6433333333333333,58.23491651316484,1.2508101101749838,15999
16499,gain1x,1.0,20.62180509713168,0.6626905235255135,16499
16499,gain2x,0.98,31.221757018317778,1.2064013130898643,16499
16499,gain3x,0.7666666666666667,45.31523339202007,1.2466124661246611,16499
16499,gain4x,0.6033333333333334,63.9705478909115,1.1536010197578077,16499
16999,gain1x,0.9966666666666668,49.87733613451322,0.7563875537566405,16999
16999,gain2x,0.9433333333333334,40.79460630317529,1.228831958315241,16999
16999,gain3x,0.8166666666666667,43.61073217789332,1.3702460850111855,16999
16999,gain4x,0.6733333333333333,55.15654435877999,1.323722149410223,16999
17499,gain1x,1.0,45.44141804178556,0.7496251874062968,17499
17499,gain2x,0.9833333333333332,35.562413147340216,1.2671821305841924,17499
17499,gain3x,0.85,40.24370359163731,1.4150943396226414,17499
