episode,task,reward_fraction,error_distance,reward_rate,ordered_episode
499,noise0,0.15333333333333332,148.04177123556534,0.13105413105413105,499
499,noise0.4,0.11,149.80573080976805,0.09298393913778528,499
499,noise0.8,0.11,150.37574155877033,0.09093414163681454,499
999,noise0,0.0,388.2418300310771,0.0,999
999,noise0.4,0.0,388.47423954804736,0.0,999
999,noise0.8,0.0,390.6465535958608,0.0,999
1499,noise0,0.0,489.8874547481537,0.0,1499
1499,noise0.4,0.0,490.97334750493366,0.0,1499
1499,noise0.8,0.0,485.94729765256244,0.0,1499
1999,noise0,0.15666666666666668,164.7517975072066,0.1313950237629298,1999
1999,noise0.4,0.15666666666666668,163.56132509807745,0.13375071143995446,1999
1999,noise0.8,0.17333333333333334,162.8430599582692,0.14672686230248305,1999
2499,noise0,0.33666666666666667,101.58319293800741,0.25300601202404804,2499
2499,noise0.4,0.36,101.83163193240762,0.2800829875518672,2499
2499,noise0.8,0.35,101.12059766923387,0.27124773960216997,2499
2999,noise0,0.49,83.68367098706464,0.3458823529411765,2999
2999,noise0.4,0.49,82.5348675629745,0.34637134778510836,2999
2999,noise0.8,0.51,80.77185625769198,0.3514010105649977,2999
3499,noise0,0.74,48.907175210615,0.4968666069829901,3499
3499,noise0.4,0.71,50.75952287390828,0.477364410578216,3499
3499,noise0.8,0.7,53.34064144268632,0.4699037816066234,3499
3999,noise0,0.8333333333333334,40.274040980885424,0.5690871841566127,3999
3999,noise0.4,0.84,42.200186021625996,0.5774518790100824,3999
3999,noise0.8,0.83,43.032159021124244,0.562966312457608,3999
4499,noise0,0.82,42.70164489684006,0.4623191129486938,4499
4499,noise0.4,0.81,43.596220464756094,0.45217714923706737,4499
4499,noise0.8,0.81,44.24951290898025,0.46145081655905806,4499
4999,noise0,0.8433333333333334,43.27251807848612,0.5103893483962073,4999
4999,noise0.4,0.82,44.668608067557216,0.4987834549878345,4999
4999,noise0.8,0.8033333333333333,43.687430606534086,0.49855192387256925,4999
5499,noise0,0.8166666666666667,46.061020132154226,0.5634774609015639,5499
5499,noise0.4,0.85,43.82259100923935,0.5917846368066836,5499
5499,noise0.8,0.78,45.65588908394178,0.5476246197051252,5499
5999,noise0,0.81,46.83082431803147,0.582314881380302,5999
5999,noise0.4,0.7466666666666667,49.73987908537189,0.5430303030303031,5999
5999,noise0.8,0.79,48.50737905378143,0.5866336633663366,5999
6499,noise0,0.8133333333333334,46.922327131032944,0.599214145383104,6499
6499,noise0.4,0.8066666666666666,46.33529960984985,0.5957656326932544,6499
6499,noise0.8,0.79,48.58760389437278,0.5870696061431756,6499
6999,noise0,0.7566666666666667,49.16735597948233,0.5659436549488905,6999
6999,noise0.4,0.84,46.53021029507121,0.6279591328183404,6999
6999,noise0.8,0.7633333333333333,50.317744889607035,0.5719280719280718,6999
7499,noise0,0.7566666666666667,49.911010517428316,0.5716444220599345,7499
7499,noise0.4,0.8066666666666666,49.52688015376528,0.6089582284851535,7499
7499,noise0.8,0.7733333333333333,48.86184177547693,0.5842357088894484,7499
7999,noise0,0.7633333333333333,47.64166259082655,0.5690854870775347,7999
7999,noise0.4,0.78,49.603988175590835,0.5828144458281445,7999
7999,noise0.8,0.8166666666666667,46.365386467427015,0.6082423038728898,7999
8499,noise0,0.84,45.28440807263056,0.6254653760238272,8499
8499,noise0.4,0.81,46.456858241930604,0.6032770605759682,8499
8499,noise0.8,0.8333333333333334,47.14517515773574,0.6205013651030031,8499
8999,noise0,0.85,43.893010408617556,0.6180319922443044,8999
8999,noise0.4,0.8366666666666667,45.214908860158175,0.6093712066035445,8999
8999,noise0.8,0.81,46.6810739133507,0.5905224787363305,8999
9499,noise0,0.82,46.844215566292405,0.6229425170929349,9499
9499,noise0.4,0.75,50.26427657529712,0.569620253164557,9499
9499,noise0.8,0.7933333333333333,48.823460415005684,0.6008583690987124,9499
9999,noise0,0.7833333333333333,51.074887715280056,0.600408788962698,9999
9999,noise0.4,0.78,49.85365556925535,0.5981595092024539,9999
9999,noise0.8,0.7633333333333333,50.19135960191488,0.5846310952259381,9999
10499,noise0,0.8066666666666666,50.005296202997364,0.6143691292206143,10499
10499,noise0.4,0.72,51.91256555976967,0.5486410972821945,10499
10499,noise0.8,0.7966666666666666,49.709791438033186,0.6061374587877251,10499
10999,noise0,0.72,54.35927528639635,0.5657412257726558,10999
10999,noise0.4,0.7333333333333333,54.06524438535174,0.5748628168278024,10999
10999,noise0.8,0.6833333333333333,56.1377104409039,0.535108326807622,10999
11499,noise0,0.8066666666666666,49.94550336524844,0.6108026249369005,11499
11499,noise0.4,0.7533333333333333,50.76356657408178,0.5695564516129032,11499
11499,noise0.8,0.7966666666666666,48.89628833159804,0.601863510450768,11499
11999,noise0,0.81,48.24294404809674,0.619108280254777,11999
11999,noise0.4,0.7566666666666667,51.15609189122915,0.5784913353720693,11999
11999,noise0.8,0.79,50.028200302273035,0.6039755351681957,11999
12499,noise0,0.7866666666666666,51.959232007463775,0.6071520452791355,12499
12499,noise0.4,0.7333333333333333,52.03269926955303,0.5654073502955538,12499
12499,noise0.8,0.75,52.829297249515854,0.5766273705791901,12499
12999,noise0,0.8333333333333334,46.19451419264078,0.6242197253433208,12999
12999,noise0.4,0.83,48.12474500387907,0.6207928197456993,12999
12999,noise0.8,0.8333333333333334,45.98737612801293,0.6222000995520159,12999
13499,noise0,0.7533333333333333,51.54251660530766,0.5788934426229507,13499
13499,noise0.4,0.7866666666666666,49.537988905484475,0.603426233699821,13499
13499,noise0.8,0.8066666666666666,50.61019545545181,0.6197183098591549,13499
13999,noise0,0.79,48.68711964910229,0.5883813306852036,13999
13999,noise0.4,0.8566666666666667,44.8963946296523,0.6383507203179334,13999
13999,noise0.8,0.8466666666666667,45.06465350588163,0.6296479920674268,13999
14499,noise0,0.8233333333333334,46.139250506957374,0.6139696743723589,14499
14499,noise0.4,0.8133333333333334,47.49389052763581,0.6063618290258449,14499
14499,noise0.8,0.8233333333333334,46.256533236553274,0.6139696743723589,14499
14999,noise0,0.6733333333333333,55.74982245018085,0.5300446077145106,14999
14999,noise0.4,0.6566666666666666,56.44168818121155,0.517875920084122,14999
14999,noise0.8,0.72,54.64464348306259,0.5652970426589897,14999
15499,noise0,0.7,56.13757195075353,0.5516154452324664,15499
15499,noise0.4,0.71,53.864271979779005,0.5593487394957983,15499
15499,noise0.8,0.69,56.30248759314418,0.5420267085624508,15499
15999,noise0,0.6933333333333334,56.064098673562206,0.5366357069143447,15999
15999,noise0.4,0.7266666666666667,52.74512360493342,0.5617108992527698,15999
15999,noise0.8,0.7433333333333333,51.20537233352661,0.5745941767585674,15999
16499,noise0,0.7066666666666667,54.60294781625271,0.5506493506493506,16499
16499,noise0.4,0.7166666666666667,54.63399169842402,0.5574280528908477,16499
16499,noise0.8,0.7,54.6382036699603,0.5429162357807652,16499
16999,noise0,0.7533333333333333,50.996809699883066,0.5708512250568325,16999
16999,noise0.4,0.7966666666666666,48.6074616095672,0.6027742749054225,16999
16999,noise0.8,0.7766666666666666,49.529078156376876,0.5874936964195663,16999
17499,noise0,0.78,49.153916922708355,0.5943611887223774,17499
17499,noise0.4,0.75,51.016626104712486,0.5709210860187769,17499
17499,noise0.8,0.77,49.50966974596182,0.5848101265822785,17499
17999,noise0,0.7933333333333333,50.43277872850498,0.6020743738932456,17999
17999,noise0.4,0.78,49.88007879257202,0.5916561314791403,17999
17999,noise0.8,0.7633333333333333,51.212959103286266,0.5784288961859054,17999
18499,noise0,0.7633333333333333,50.04656692966819,0.5774079677256682,18499
18499,noise0.4,0.8033333333333333,48.738178999473654,0.6069000251825736,18499
18499,noise0.8,0.7733333333333333,49.45217941701412,0.583061070620759,18499
18999,noise0,0.7566666666666667,52.08580726633469,0.581902076390669,18999
18999,noise0.4,0.7366666666666667,52.485894434154034,0.56710289966641,18999
18999,noise0.8,0.7966666666666666,48.51674512028694,0.6101608373755424,18999
19499,noise0,0.7533333333333333,50.48467066014806,0.5722967839959483,19499
19499,noise0.4,0.7833333333333333,49.48376543571552,0.5952380952380952,19499
19499,noise0.8,0.7833333333333333,48.929691613962255,0.5944852011130787,19499
19999,noise0,0.7733333333333333,50.08688087885579,0.5942622950819672,19999
19999,noise0.4,0.78,49.58651838451624,0.5990783410138248,19999
19999,noise0.8,0.75,51.78564536447326,0.5755947812739831,19999
20499,noise0,0.6766666666666666,55.08036326865355,0.5261793675479522,20499
